name,restaurant_id,user_id,liked,food type
OPTP Bahria Town,84,user_1,0,Burgers | Fast Food
Kababjees Fried Chicken PECHS Cloud,61,user_1,1,Fried Chicken | Fast Food
Broadway Pizza Dolmen Mall TariqRD,9,user_1,1,Pizza | Italian
Burger-O-Clock Gulshan,32,user_1,0,Burgers | Fast Food
Burger Lab Lucky One Mall,43,user_1,0,Burgers | Fast Food
Burger Lab Bahria Town,37,user_1,0,Burgers | Fast Food
OPTP Johar,91,user_1,0,Burgers | Fast Food
Broadway Pizza Jinnah Avenue,14,user_1,0,Pizza | Italian
Karachi Broast North Nazimabad,70,user_1,0,Pakistani | Broast
Broadway Pizza Dolmen Mall Clifton,7,user_1,1,Pizza | Italian
Broadway Pizza SMCHS,25,user_1,1,Pizza | Italian
OPTP M A JinnahRD,94,user_1,0,Burgers | Fast Food
Broadway Pizza North Nazimabad,20,user_1,0,Pizza | Italian
Kababjees Fried Chicken Gulshan Disco,52,user_1,0,Fried Chicken | Fast Food
Burger-O-Clock Nazimabad,35,user_1,0,Burgers | Fast Food
OPTP Boat Basin,85,user_1,1,Burgers | Fast Food
Broadway Pizza Shahbaz,23,user_1,0,Pizza | Italian
Broadway Pizza Gulshan,12,user_1,1,Pizza | Italian
Karachi Haleem North Nazimabad,79,user_1,0,Pakistani | Haleem
Burger-O-Clock Dolmen Mall TariqRD,31,user_1,1,Burgers | Fast Food
Javed Nihari AlamgirRD,47,user_2,0,Pakistani | Nihari
Zahid Nihari TariqRD,99,user_2,0,Pakistani | Nihari
Broadway Pizza Gulshan,12,user_2,0,Pizza | Italian
Broadway Pizza North Karachi,19,user_2,0,Pizza | Italian
OPTP North Nazimabad,95,user_2,1,Burgers | Fast Food
Burger Lab Bahria Town,37,user_2,1,Burgers | Fast Food
Kababjees Fried Chicken North Five Star,59,user_2,1,Fried Chicken | Fast Food
Burger-O-Clock Lucky One Mall,34,user_2,0,Burgers | Fast Food
Burger Lab Johar,42,user_2,0,Burgers | Fast Food
Burger Lab SMCHS,46,user_2,0,Burgers | Fast Food
Burger-O-Clock DHA,29,user_2,0,Burgers | Fast Food
Burger-O-Clock Bahria Town,27,user_2,0,Burgers | Fast Food
Broadway Pizza Johar,15,user_2,0,Pizza | Italian
Kababjees Fried Chicken Teen Talwar,64,user_2,0,Fried Chicken | Fast Food
Karachi Broast Boat Basin,66,user_2,1,Pakistani | Broast
Broadway Pizza DHA PHASE 8,6,user_2,0,Pizza | Italian
Kababjees Fried Chicken North Karachi,60,user_2,0,Fried Chicken | Fast Food
Broadway Pizza Clifton,5,user_3,0,Pizza | Italian
Kababjees Fried Chicken Kharadar,56,user_3,1,Fried Chicken | Fast Food
OPTP Tipu Sultan,97,user_3,0,Burgers | Fast Food
Burger Lab Bahria Town,37,user_3,0,Burgers | Fast Food
Broadway Pizza DHA PHASE 8,6,user_3,0,Pizza | Italian
OPTP Sehar,96,user_3,0,Burgers | Fast Food
Broadway Pizza Dolmen Mall Clifton,7,user_3,0,Pizza | Italian
Burger-O-Clock Dolmen Mall TariqRD,31,user_3,0,Burgers | Fast Food
Burger Lab SMCHS,46,user_3,0,Burgers | Fast Food
Kababjees Fried Chicken PECHS Cloud,61,user_3,0,Fried Chicken | Fast Food
Burger-O-Clock Nazimabad,35,user_3,1,Burgers | Fast Food
Broadway Pizza Dolmen Mall Hyderi,8,user_3,0,Pizza | Italian
Karachi Broast Atrium Mall,65,user_4,0,Pakistani | Broast
Kababjees Fried Chicken Karimabad,55,user_4,0,Fried Chicken | Fast Food
OPTP Bahadurabad,83,user_4,0,Burgers | Fast Food
OPTP Gulshan,90,user_4,0,Burgers | Fast Food
OPTP M A JinnahRD,94,user_4,0,Burgers | Fast Food
Karachi Haleem Lasbela,78,user_4,0,Pakistani | Haleem
Javed Nihari AlamgirRD,47,user_4,0,Pakistani | Nihari
Broadway Pizza Dolmen Mall Clifton,7,user_4,0,Pizza | Italian
OPTP Malir,93,user_4,1,Burgers | Fast Food
Broadway Pizza DHA PHASE 8,6,user_4,1,Pizza | Italian
Broadway Pizza SMCHS,25,user_4,0,Pizza | Italian
Broadway Pizza Dolmen Mall TariqRD,9,user_4,0,Pizza | Italian
Kababjees Fried Chicken Teen Talwar,64,user_4,1,Fried Chicken | Fast Food
Karachi Broast RMR,71,user_4,0,Pakistani | Broast
Karachi Broast North Nazimabad,70,user_4,0,Pakistani | Broast
Burger-O-Clock Dolmen Mall Clifton,30,user_4,0,Burgers | Fast Food
Burger Lab Malir,44,user_4,0,Burgers | Fast Food
Karachi Haleem Bukhari,74,user_5,1,Pakistani | Haleem
Burger-O-Clock Nazimabad,35,user_5,1,Burgers | Fast Food
Broadway Pizza Bukhari,3,user_5,0,Pizza | Italian
Burger-O-Clock Gulshan,32,user_5,1,Burgers | Fast Food
Kababjees Fried Chicken Millennium Mall,58,user_5,0,Fried Chicken | Fast Food
Burger-O-Clock DHA,29,user_5,0,Burgers | Fast Food
OPTP DHA PHASE 2,86,user_5,0,Burgers | Fast Food
Kababjees Fried Chicken Clifton,49,user_5,0,Fried Chicken | Fast Food
Burger Lab Johar,42,user_5,1,Burgers | Fast Food
Broadway Pizza SMCHS,25,user_5,1,Pizza | Italian
Karachi Broast Boat Basin,66,user_5,1,Pakistani | Broast
Burger Lab DHA,39,user_5,0,Burgers | Fast Food
Kababjees Fried Chicken Johar Chowrangi,54,user_5,1,Fried Chicken | Fast Food
OPTP FB Area,89,user_5,0,Burgers | Fast Food
Broadway Pizza Ittehad,13,user_5,0,Pizza | Italian
Kababjees Fried Chicken Garden East Branch,51,user_5,0,Fried Chicken | Fast Food
Burger-O-Clock Dolmen Mall Clifton,30,user_5,0,Burgers | Fast Food
Kababjees Fried Chicken North Karachi,60,user_5,0,Fried Chicken | Fast Food
OPTP DHA PHASE 2,86,user_6,0,Burgers | Fast Food
Broadway Pizza Scheme 33,22,user_6,0,Pizza | Italian
Broadway Pizza Jinnah Avenue,14,user_6,0,Pizza | Italian
Broadway Pizza Garden,11,user_6,1,Pizza | Italian
OPTP North Nazimabad,95,user_6,0,Burgers | Fast Food
Zahid Nihari Saddar,98,user_6,0,Pakistani | Nihari
Broadway Pizza Tipu Sultan,26,user_6,1,Pizza | Italian
Karachi Broast Gulshan,68,user_6,0,Pakistani | Broast
Broadway Pizza RMR,21,user_6,0,Pizza | Italian
Kababjees Fried Chicken Clifton,49,user_6,0,Fried Chicken | Fast Food
Burger-O-Clock Dolmen Mall Clifton,30,user_6,0,Burgers | Fast Food
Javed Nihari FB Area,48,user_6,0,Pakistani | Nihari
Broadway Pizza SMCHS,25,user_6,0,Pizza | Italian
Karachi Haleem Lasbela,78,user_7,0,Pakistani | Haleem
Broadway Pizza North Karachi,19,user_7,1,Pizza | Italian
Kababjees Fried Chicken Karimabad,55,user_7,0,Fried Chicken | Fast Food
Karachi Haleem North Nazimabad,79,user_7,1,Pakistani | Haleem
